name,price,count,shop
Python编程 从入门到实践 第2版（图灵出品） 零基础学Python编程教程书籍，数据分析、网络爬虫、深度学习技能，蟒蛇书升级版，附赠源代码、练习答案、学习视频、学习速查地图,￥69.80,50万+条评价,人民邮电出版社京东自营官方旗舰店
Python编程三剑客新版：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装3册）,￥149.80,50万+条评价,人民邮电出版社京东自营官方旗舰店
【新华书店 正版包邮】Python编程 从入门到实践(第2版),￥69.80,1万+条评价,文轩网旗舰店
零基础学Python（Python3.10全新升级）（基础入门 同步视频 技术答疑）,￥38.30,20万+条评价,明日科技京东自营官方旗舰店
深度学习入门 基于Python的理论与实现（AI入门鱼书！了解ChatGPT底层逻辑！图灵出品）,￥34.90,20万+条评价,人民邮电出版社京东自营官方旗舰店
零基础Python学习笔记 零基础学习笔记一步到位，20年持续开发，汇集百位工程师海量开发资源，无惧开发挑战　团购电话4006186622,￥54.00,2万+条评价,电子工业出版社京东自营官方旗舰店
【新华书店 正版现货】Python编程三剑客新版：Python编程从入门到实践第2版+快速上手第2版+极客编程（套装3册）温科特卡姆著人民邮电出版社编程零基础自学书籍,￥122.00,2000+条评价,文轩网旗舰店
零基础Python从入门到实践 编程从入门到实践编程语言与程序设计书籍基础教程学习手册从入门到实战系列,￥34.40,5000+条评价,本本图书京东自营官方旗舰店
"零基础入门学习Python（第2版） 小甲鱼畅销图书重磅升级,基于Python3.7,30小时视频讲解,实例贯穿全书,让读者在实践中理解概念,在轻松、愉快中学会Python!累计畅销13万册 200册以上团购电话：01089111488",￥70.30,10万+条评价,清华大学出版社京东自营官方旗舰店
Python青少年趣味编程8-15岁 儿童中小学少儿编程入门到实践 零基础学python儿童电脑编程教材（彩印+微课视频讲解）编程真好玩编程思维启蒙教材书籍,￥34.90,2万+条评价,智博尚书京东自营官方旗舰店
Python语言程序设计基础（第2版）教育部大学计算机课程改革项目规划教材 50册以上团购优惠 联系电话4006186622,￥30.80,2万+条评价,高等教育出版社京东自营官方旗舰店
"利用Python进行数据分析（原书第2版） Python数据分析经典畅销书全新升级,第1版中文版累计销售100000册.针对Python3.6进行全面修订和更新",￥84.70,5万+条评价,机械工业出版社京东自营官方旗舰店
趣味微项目，轻松学Python,￥49.00,15条评价,清华大学出版社京东自营官方旗舰店
Python基础教程（第3版）(图灵出品) Python3.5编程入门教程，Python入门书，中文版累计销量20万册，针对Python，3升级，手把手教授Python编程实践　200册以上团购电话：01089111488,￥78.20,50万+条评价,人民邮电出版社京东自营官方旗舰店
Python编程从入门到精通 第2二版计算机电脑编程入门自学零基础教程全套书籍 pathon编程从入门到实践基础教程语言程序设计,"￥36.80
￥34.95",1万+条评价,墨马图书旗舰店
Python数据分析从入门到实践 Excel高效办公、Pandas、Matplotlib、NumPy、Seaborn、Scikit-Learn（3全彩版）,￥47.00,20万+条评价条评价,明日科技京东自营官方旗舰店
Python编程300例：快速构建可执行高质量代码/清华开发者书库 中国产业发展研究院、中关村智能硬件产业联盟、中关村大数据产业联盟北京两化联盟联袂推荐！内含10万行源代码、300个经典案例！ 200册以上团购电话：01089111488,"￥70.30
￥43.60",2000+条评价,清华大学出版社京东自营官方旗舰店
Excel+Python 飞速搞定数据分析与处理（图灵出品） 零基础Python编程数据分析，Excel办公自动化处理，告别烦琐公式，办公人士也能轻松学习Python数据处理自动化，让你的Excel快得飞起来！,￥44.90,50万+条评价,人民邮电出版社京东自营官方旗舰店
Python asyncio并发编程,￥116.10,6条评价条评价,清华大学出版社京东自营官方旗舰店
Python学习手册（套装上下册）（原书第5版） 零基础学Python3，Python编程从入门到实践学习手册，详解利用Python进行数据分析、机器学习的编程语言基础，Python核心技术全覆盖,￥155.90,5万+条评价,机械工业出版社京东自营官方旗舰店
疯狂Python讲义(博文视点出品) 零基础学Python编程实战，CSDN爆款Python课程指定用书，覆盖爬虫、大数据、并发编程等就业热点，Python求职不再慌 100册以上团购优惠联系电话4006186622,￥59.00,2万+条评价,电子工业出版社京东自营官方旗舰店
流畅的Python(图灵出品) Python进阶图书，PSF研究员，知名PyCon演讲者心血之作，全面深入，对Python语言关键特性剖析到位，兼顾Python3和Python2　200册以上团购电话：01089111488,￥109.80,2万+条评价,人民邮电出版社京东自营官方旗舰店
Python从入门到精通（第2版） Python入门经典，10万Python程序员的入门书，243集教学视频+102个精彩案例+在线答疑，Python数据分析，Python爬虫,￥59.80,10万+条评价,京东图书自营旗舰店
DK编程真好玩：9岁开始学Python （爱心树童书） DK出版社经典Python编程启蒙书！孩子进阶学习编程的选择！专为9岁以上孩子设计。100册以上团购优惠联系电话4006186622,￥59.00,2万+条评价,爱心树童书京东自营官方旗舰店
Python绝技：运用Python成为顶级黑客(博文视点出品),￥39.50,2万+条评价条评价,电子工业出版社京东自营官方旗舰店
Python自动化办公从入门到精通——让Excel、Word、PPT飞起来 配视频讲解，难点直接粉碎！著名Python编程讲师龙豪杰作品　团购电话4006186622,￥34.00,2000+条评价,中国水利水电出版社京东自营官方旗舰店
网络工程师的Python之路：网络运维自动化实战（第2版）(博文视点出品) Python零基础网工入门/资深网络老兵\知乎大V全新打造/内容翻倍，技术更全，可作教材/新增华为实验，可适配其他设备/提供增值服务，营造自学自驱学习氛围,￥69.00,1万+条评价,电子工业出版社京东自营官方旗舰店
